Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand Name,"Dupixent, fka REGN668",
,Generic Name,dupilumab,
,Mechanism,IL-4R subunit antibody,
,,,Type I receptor: IL-4Ralpha + common gamma chain
,,,Type II receptor: IL-4Ralpha + IL-13Ralpha1
,Indication,"atopic dermatitis, asthma, eosinophilic esophagitis (EoE), CSU, bullous pemphigoid",
,Regulatory,BLA 761055 approved 3/28/2017,
,,"sBLA for bullous pemphigoid submitted, FDA decision 2H25, submit in EU 1H25",
,,"sBLA for CSU resubmitted, 4/18/25 PDUFA",
,,EC approves childhood EoE ,
,Economics,,
,Administration,,
,Clinical Trials,,
,,Phase III lichen simplex chronicus,
,,,
,,bullous pemphigoid,
,,,
,,Phase 2 in eosinophilic asthma,
,,,
,,,
,,,
,,Phase 1 in asthma,
