Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Rank,Author,Title,ISBN,Pages,Release,Edition,Read
,,Charles Petzold,Code: The Hidden Language of Computer Hardware and Software,978-0137909100,480,2022-08-07 00:00:00,2,
,1,Charles Petzold,Code: The Hidden Language of Computer Hardware and Software,978-0735605053,393,1999-10-23 00:00:00,1,2017
,2,Cixin Liu,The Three-Body Problem,978-0765382030,416,2016-01-12 00:00:00,,2020
,3,Blake Harris,"The History of the Future: Oculus, Facebook, and the Revolution That Swept Virtual Reality",978-0062455970,592,2020-03-10 00:00:00,1,2020
,4,F. Scott Fitzgerald,The Great Gatsby,,,,,
,5,Phil Knight,Shoe Dog,,,,,
,6,Viktor Frankel,Man's Search for Meaning,,,,,
,7,Alice Schroeder,Snowball,,,,,
,8,Gregory Zuckerman,The Man Who Solved the Market,,,,,
,9,Andrew Hodges,Alan Turing: The Enigma,,,,,
,10,Nick Bostrom,Superintelligence,,,,,
,11,Edward Thorp,A Man for All Markets,,,,,
,12,Peter Thiel,Zero to One,,,,,
,13,Jack Schwager,Market Wizards,,,,,
,14,"Harold Abelson, Gerald Jay Sussman, Julie Sussman",Structure and Interpretation of Computer Programs - 2nd Edition,,,,,
,15,Charles Petzold,The Annotated Turing,,,,,
,16,Chris Bernhardt,Turing's Vision,,,,,
,,Nassim Nicholas Taleb,The Black Swan,,,,,
,,Peter L Bernstein,Against the Gods,,,,,
,,Ben Horowitz,The Hard Thing About Hard Things,,,,,
,,Walter Isaacson,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",,,,,
,,Patrick Lencioni,The Five Dysfunctions of a Team,,,,,
,,John Brooks,Business Adventures,,,,,
,,Douglas Adams,The Hitchhiker's Guide to the Galaxy,,,,,
,,Duncan Clark,Alibaba,,,,,
,,Gene Kim,The Phoenix Project,,,,,
,,Nassim Nicholas Taleb,Fooled By Randomness,,,,,
,,Roger Lowenstein,When Genius Failed,,,,,
,,Michael Lewis,Flash Boys,,,,,
,,Andrew Ross Sorkin,Too Big to Fail,,,,,
,,Bryan Burrough,Barbarians at the Gate,,,,,
,,Sheelah Kolhatkar,Black Edge,,,,,
,,Nick Bolton,American Kingpin,,,,,
,,Turney Duff,The Buyside,,,,,
,,Ronan Farrow,Catch and Kill,,,,,
,,Bill Browder,Red Notice,,,,,
,,Spencer Johnson,Who Moved My Cheese?,,,,,
,,Jocko Willink,Extreme Ownership,,,,,
,,John Carreyrou,Bad Blood,,,,,
,,Daniel Kahneman,"Thinking, Fast and Slow",,,,,
,,Patrick Keefe,Say Nothing,,,,,
,,Michael Lewis,Liar's Poker,,,,,
,,Douglas Hofstadter,"Godel, Escher, Bach",,,,,
,,Stephen Hawking,A Brief History of Time,,,,,
,,Walter Isaacson,Steve Jobs,,,,,
,,Simon Singh,Fermat's Enigma,,,,,
,,JD Salinger,The Catcher in the Rye,,,,,
,,George Orwell,Animal Farm,,,,,
,,John Steinbeck,Of Mice and Men,,,,,
,,Ernest Cline,Ready Player One,,,,,
,,George Orwell,1984',,,,,
,,Franz Kafka,The Metamorphosis,,,,,
,,Albert Camus,The Stranger,,,,,
,,Frank Herbert,Dune,,,,,
,,Isaac Asimov,Foundation,,,,,
,,Aldous Huxley,Brave New World,,,,,
,,William Gibson,Neuromancer,,,,,
,,Neal Stephenson,Snow Crash,,,,,
