Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109
,Rylaze,,,,0,0,0,20.674,64.955,54.22,72.954,73.513,80.972,85.927,101.693,104.859,101.747,102.75,107.829,115.34490000000001,101.487,94.233,113.22045,121.11214500000001,106.56135,,,,,,,85.62899999999999,281.659,394.226,427.41089999999997,435.12694500000003,439.47821445000005,443.8729965945001,448.3117265604451,452.79484382604954,457.32279226431007,461.8960201869532,466.5149803888227,471.180130192711,475.8919314946381,480.6508508095845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vyxeos,,,,30.992,33.155,31.453,34.688,34.764,33.757,33.89,30.067,30.266,36.7,34.056,29.827,46.912,32.023,43.012,32.80970000000001,53.247,29.544,43.012,32.80970000000001,53.247,,,,100.835,121.407,121.105,134.06,127.97999999999999,147.495,161.0917,158.61270000000002,157.026573,155.45630727000002,153.90174419730002,152.36272675532703,150.83909948777375,149.330708492896,147.83740140796704,146.35902739388737,144.8954371199485,143.44648274874902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defitelio,,,,55.455,49.619,48.096,57.705,42.511,49.489,54.696,49.452,40.653,39.079,46.108,47.73,51.083,47.676,45.421,52.503,57.65,40.662,45.421,52.503,57.65,,,,149.448,172.938,195.842,197.931,194.29,184.0,203.25000000000003,196.23600000000002,194.27364000000003,192.33090360000003,190.40759456400002,188.50351861836003,186.61848343217642,184.75229859785466,182.90477561187612,181.07572785575735,179.26497057719976,177.47232087142777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,62.386,47.900999999999996,34.426,7.212,4.878,4.827,6.21,5.8870000000000005,7.664000000000001,12.027000000000001,13.747,36.649,48.684,63.451,62.379,40.313900000000004,65.936,63.205,64.25037,41.523317000000006,67.91408000000001,,,,61.034000000000006,43.712,23.749,94.417,24.588,111.107,232.0799,236.89276700000002,234.52383933000002,232.1786009367,229.856814927333,227.55824677805967,225.28266431027907,223.02983766717628,220.79953929050453,218.59154389759948,216.40562845862348,214.24157217403726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,665.5169999999999,607.581,751.811,838.115,896.731,813.721,932.878,940.652,972.1229999999999,892.812,957.3169999999999,972.14,1011.935,901.9830000000002,1023.8250000000002,994.2063000000003,1088.173,897.8410000000001,1056.26635,1027.5001200000002,1141.3376,,1477.261,1601.399,1890.9220000000003,2161.761,2363.567,3094.238,3659.374,3834.204,4008.1872999999996,4122.945070000001,4193.13867629,4233.9220421003,3934.9656123744594,3725.490911966934,3594.590504075321,3518.029121060496,3279.296601562381,2389.934558596203,1686.1899514397483,1530.252922727831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,,48.298,38.193,50.226,58.872,58.11,48.206,53.245,57.103,93.386,64.728,97.537,102.153,71.238,64.148,72.413,69.59444099999996,86.492,69.691,105.62663499999996,102.75001199999997,114.13375999999994,,,,121.544,127.93,148.917,205.401,251.94,335.656,292.64744099999996,247.37670420000003,251.5883205774,254.035322526018,236.09793674246757,223.52945471801604,215.67543024451925,211.08174726362975,196.75779609374285,143.39607351577217,101.17139708638489,91.81517536366985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,,617.2189999999999,569.388,701.585,779.243,838.621,765.515,879.633,883.5490000000001,878.737,828.0840000000001,859.7799999999999,869.987,940.6969999999999,837.8350000000002,951.4120000000001,924.6118590000003,1001.681,828.1500000000001,950.6397150000001,924.7501080000002,1027.2038400000001,,,,1769.3780000000002,2033.831,2214.65,2888.837,3407.4339999999997,3498.5480000000002,3715.5398589999995,3875.5683658000007,3941.5503557126003,3979.8867195742823,3698.867675631992,3501.961457248918,3378.9150738308017,3306.947373796866,3082.538805468638,2246.5384850804307,1585.0185543533635,1438.4377473641612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,,225.378,228.4,269.44,278.552,328.656,258.701,281.493,274.747,319.763,260.515,276.871,308.3,300.52,311.499,303.386,308.3,323.167,472.339,303.386,308.3,323.167,,,,683.53,736.942,854.233,1105.048,1134.704,1146.206,1246.3519999999999,1030.7362675000002,1048.2846690725,1058.480510525075,983.7414030936148,931.3727279917335,898.6476260188302,879.507280265124,819.8241503905953,597.4836396490507,421.54748785993706,382.56323068195775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,,83.968,67.93,118.525,124.47,140.101,116.459,123.719,120.802,160.105,173.918,192.019,234.402,201.107,204.015,203.463,234.402,220.857,159.722,,,,,,,226.616,299.726,333.375,451.026,521.085,,862.7369999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,309.346,296.33000000000004,387.96500000000003,403.02200000000005,468.757,375.16,405.212,395.54900000000004,479.86799999999994,434.433,468.89,542.702,501.62699999999995,515.514,506.84900000000005,542.702,544.024,632.061,303.386,308.3,323.167,,,,910.146,1036.6680000000001,1187.608,1556.074,1655.789,1146.206,2109.089,1030.7362675000002,1048.2846690725,1058.480510525075,983.7414030936148,931.3727279917335,898.6476260188302,879.507280265124,819.8241503905953,597.4836396490507,421.54748785993706,382.56323068195775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,307.87299999999993,273.058,313.62,376.221,369.864,390.35499999999996,474.42100000000005,488.00000000000006,398.869,393.65100000000007,390.8899999999999,327.28499999999997,439.06999999999994,322.32100000000014,444.5630000000001,381.9098590000003,457.65700000000004,196.08900000000006,647.253715,616.4501080000002,704.0368400000002,,,,859.2320000000002,997.1629999999998,1027.0420000000001,1332.763,1751.6449999999998,2352.3420000000006,1606.4508589999996,2844.8320983000003,2893.2656866401003,2921.406209049207,2715.126272538377,2570.5887292571847,2480.2674478119716,2427.440093531742,2262.714655078043,1649.05484543138,1163.4710664934264,1055.8745166822034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,,-11.527,-11.688,-47.098,-65.327,-61.998,-58.516,-57.617,-65.982,-74.125,-74.147,-73.47,-71.497,-70.324,-66.116,-62.023,-60.023,-51.256,-53.706,-53.706,-53.706,-53.706,,,,-78.5,-72.261,-99.707,-186.111,-256.24,-289.43800000000005,-239.418,0.0,-23.391492065999987,28.26624343633382,81.36034758107355,131.69710674322366,180.33825179123102,228.22915438408864,276.03120084657365,321.7286262532167,357.20272874353947,384.5748570578048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,296.34599999999995,261.37,266.522,310.894,307.866,331.83899999999994,416.80400000000003,422.01800000000003,324.744,319.5040000000001,317.41999999999985,255.78799999999995,368.7459999999999,256.20500000000015,382.5400000000001,321.8868590000003,406.40100000000007,142.38300000000004,593.547715,562.7441080000002,650.3308400000002,,,,780.7320000000002,924.9019999999998,927.3350000000002,1146.652,1495.4049999999997,2062.9040000000005,1367.0328589999995,2844.8320983000003,2869.8741945741003,2949.672452485541,2796.486620119451,2702.2858360004084,2660.6056996032025,2655.669247915831,2538.7458559246165,1970.7834716845969,1520.6737952369658,1440.4493737400082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,29.968,37.659,30.262,43.589,37.254,55.223,38.387,44.386,0,40.197,24.323,47.176,33.089,64.735,23.52,32.18868590000003,0,36.394,59.354771500000005,56.27441080000003,65.03308400000002,,,,80.162,-73.154,33.517,148.76399999999998,137.996,144.78500000000003,120.44368590000002,284.48320983,286.98741945741006,294.9672452485541,279.6486620119451,270.22858360004085,266.06056996032027,265.5669247915831,253.87458559246167,197.0783471684597,152.0673795236966,144.04493737400082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,266.37799999999993,223.711,236.26,267.305,270.61199999999997,276.61599999999993,378.41700000000003,377.632,324.744,279.3070000000001,293.09699999999987,208.61199999999997,335.6569999999999,191.47000000000014,359.0200000000001,289.69817310000025,406.40100000000007,105.98900000000003,534.1929435000001,506.46969720000016,585.2977560000002,,,,700.5700000000002,998.0559999999998,893.8180000000001,997.888,1357.4089999999997,1918.1190000000004,1246.5891730999995,2560.3488884700005,2582.8867751166904,2654.7052072369866,2516.837958107506,2432.0572524003674,2394.5451296428823,2390.102323124248,2284.871270332155,1773.7051245161372,1368.6064157132691,1296.4044363660073,1231.5842145477068,1170.0050038203215,1111.5047536293052,1055.92951594784,1003.1330401504479,952.9763881429254,905.3275687357791,860.0611902989901,817.0581307840406,776.2052242448385,737.3949630325966,700.5252148809667,665.4989541369183,632.2240064300723,600.6128061085687,570.5821658031402,542.0530575129832,514.950404637334,489.20288440546733,464.74274018519395,441.50560317593425,419.43032301713754,398.45880686628067,378.5358665229666,359.60907319681826,341.62861953697734,324.54718856012846,308.31982913212204,292.90383767551594,278.25864579174015,264.3457135021531,251.12842782704544,238.57200643569317,226.6434061139085,215.31123580821307,204.5456740178024,194.31839031691229,184.60247080106666,175.37234726101332,166.60372989796264,158.2735434030645,150.3598662329113,142.84187292126572,135.69977927520242,128.9147903114423,122.46905079587017,116.34559825607666,110.52831834327282,105.00190242610917,99.7518073048037,94.76421693956351,90.02600609258533,85.52470578795607,81.24847049855826,77.18604697363034,73.32674462494882,69.66040739370138,66.1773870240163,62.86851767281548,59.725091789174705,56.73883719971597,53.90189533973017,51.20680057274366
,EPS,,,,4.6590758036869895,3.8311270186494957,3.9742295787915487,4.361742053390771,4.399980488756645,4.397221294927432,5.965805363308163,6.01468503623477,5.150415530038699,4.398951081992,3.9855452814794647,2.926121779136801,4.8176050981011285,3.061707469178249,5.156481149012569,4.1608355202872565,6.607824008584948,1.7381229603634043,8.76027720198757,8.305641240427034,9.598349530166125,,,,11.443295601182603,17.342415291051257,15.815029106286605,16.588061239755973,21.531222365420835,27.598834532374106,18.938648229708676,38.89777642098067,39.24018041120726,40.331272851030974,38.23674211869051,36.948721978052596,36.37882380102369,36.31132702532185,34.71261757502609,26.946790603762196,20.792379744210095,19.695460311686844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,57.174,58.393,59.448,61.284,61.503,62.907,63.431,62.785,63.052,63.494,73.54,71.293,69.673,62.537,69.625,69.625,61.503,60.979,60.979,60.979,60.979,,,,61.221,57.55,56.517,60.157,63.043749999999996,69.5,65.8225,65.8225,65.8225,65.8225,65.8225,65.8225,65.8225,65.8225,65.8225,65.8225,65.8225,65.8225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,0.34742012600729977,0.3392798655652498,0.24084111565273725,0.12234239931274349,0.0840742653036417,0.09719670501314326,0.026197423457300806,0.03347465375080261,0.040953665328358646,0.01027203935430987,0.06947333015082813,0.02269868537453479,0.0753388310514016,-0.004592104285779275,0.03168642101921715,0.03348783848985848,0.04885675347578,,,0.0840325440121954,0.18079379342687263,0.14323118563325177,0.09335259540717034,0.3091391105054351,0.18264141284542434,0.047775931074550027,0.04537664140979447,0.028630840180547734,0.017025113140786807,0.009726214408530831,-0.0706098097114558,-0.05323418831127291,-0.03513641852437166,-0.02129905560258516,-0.06785973375517429,-0.27120512445945044,-0.2944618732865302,-0.09247892183129836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,0.927427849326163,0.9371392456314467,0.9331933158732714,0.9297566563061156,0.9351979579160306,0.9407585646677423,0.942923940751095,0.9392942342120147,0.9039360245565633,0.9275009744492682,0.8981142087730605,0.8949194560454256,0.9296021977696195,0.9288811429927172,0.9292720923986033,0.93,0.9205163149609483,0.9223793522461103,0.9,0.9,0.9,,,,,0.9408213951496025,0.936994804886005,0.9336182284620641,0.9311521588118623,0.9124574487951085,0.9269875833896285,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.94,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.9400000000000001,,Maturity,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROIC,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oxybate,,,,,,,,0.03715706334015345,0.05501915000267665,0.10057903854293482,0.11203181608875834,0.12188944442205352,0.051464907040733365,-0.03590671746827212,-0.10788026759119107,-0.160981697171381,-0.1674939843076524,-0.11449151096059706,-0.06736107614128728,0.014679767431378776,0.0066213125638943104,-0.0003389279511066823,-0.0009466700377461779,0.028913635414677064,,,,,,,,0.09868876542298244,-0.06881222591791913,-0.08481690252438412,0.008884092716718639,-0.03285399516568088,-0.012154873696149981,-0.0012137384222592473,0.004386317246422022,0.007205416552782173,0.00861270431965,0.009312275329069086,-0.5,-0.7997995942712848,-0.7994994872063677,,Discount,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,19317.213330696683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.4240287689591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,,,,,,,,,,,-2795.535,-2261.3420564999997,-1754.8723592999995,-1169.5746032999994,,,,,,,,,,,-1169.5746032999994,1413.312171816691,4068.0173790536774,6584.855337161183,9016.91258956155,11411.457719204433,13801.560042328681,16086.431312660836,17860.136437176974,19228.742852890242,20525.14728925625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,,,,,,2571.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,,,,,,,,,,,,,652.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inventories,,,,,,,,,,,,,,,,,,,,,492.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepaid,,,,,,,,,,,,,,,,,,,,,150.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCA,,,,,,,,,,,,,,,,,,,,,259.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPE,,,,,,,,,,,,,,,,,,,,,178.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,,,,,,,,,,,,49.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,,,,,,,,,,,,,6478.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DTA,,,,,,,,,,,,,,,,,,,,,575.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deferred Financing,,,,,,,,,,,,,,,,,,,,,8.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONCA,,,,,,,,,,,,,,,,,,,,,116.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,,,,,,,11534.681999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,,,,,,,,,95.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL,,,,,,,,,,,,,,,,,,,,,1063.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,,,,,,,,5367.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
