Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
,,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0
,Translarna,104,70,72,94,86,59,72,94,,,,,,,,,,,,,,,,190.0,191.9,236.0,288.6,356.0,340.0,311.0,279.90000000000003,251.91000000000003,226.71900000000002,204.04710000000003,183.64239000000003,,,,,,,,,,,,,,,,
,Emflaza,57,47,52,50,48,36,52,50,,,,,,,,,,,,,,,,101.0,139.0,187.3,218.3,255.0,206.0,186.0,167.4,150.66,135.594,122.0346,109.83114,,,,,,,,,,,,,,,,
,Sephience,,,,,,,5,10,,,,,,,,,,,,,,,,,,,,,0.0,15.0,50.0,100.0,150.0,200.0,200.0,,,,,,,,,,,,,,,,
,Other Products,16.604000000000013,16.22,11.420999999999992,10.705999999999989,19.425999999999988,23.328999999999994,11.420999999999992,10.705999999999989,,,,,,,,,,,,,,,,0.3059999999999832,2.5010000000000048,5.603999999999985,28.327999999999918,50.249000000000024,54.95099999999999,64.88199999999996,64.88199999999996,64.88199999999996,64.88199999999996,64.88199999999996,64.88199999999996,,,,,,,,,,,,,,,,
,Royalty,31.154,53.183,61.365,58.162,36.4,57.605,61.365,58.162,,,,,,,,,,,,,,,,15.674,42.579,54.643,113.521,168.856,203.864,213.532,213.532,213.532,213.532,213.532,213.532,,,,,,,,,,,,,,,,
,Other Revenue,0,0,0,0,0,2.941,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.941,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,Revenue,208.758,186.403,196.786,212.868,189.826,178.875,201.786,222.868,,,,,,,,,,,,,,,,306.97999999999996,375.97999999999996,483.547,648.7489999999999,830.105,804.815,793.355,775.714,780.984,790.727,804.4956999999999,771.8875300000001,,,,,,,,,,,,,,,,
,COGS,14.74,15.527,10.848,16.283,12.862,11.42,,,,,,,,,,,,,,,,,,12.135,18.942,32.328,44.678,65.486,57.398,24.282,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,194.018,170.876,185.938,196.58499999999998,176.964,167.455,,,,,,,,,,,,,,,,,,294.84499999999997,357.03799999999995,451.21900000000005,604.0709999999999,764.619,747.417,769.073,,,,,,,,,,,,,,,,,,,,,
,R&D,116.129,132.169,161.412,124.77,108.973,112.99,,,,,,,,,,,,,,,,,,257.452,477.643,540.684,651.496,666.563,534.48,221.963,,,,,,,,,,,,,,,,,,,,,
,G&A,73.272,69.5,73.456,84.683,80.961,85.262,,,,,,,,,,,,,,,,,,202.541,245.164,285.773,325.998,332.54,300.911,166.223,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,189.401,201.669,234.868,209.453,189.934,198.252,,,,,,,,,,,,,,,,,,459.993,722.807,826.457,977.4939999999999,999.1030000000001,835.3910000000001,388.18600000000004,,,,,,,,,,,,,,,,,,,,,
,Operating Income,4.61699999999999,-30.793000000000006,-48.93000000000001,-12.868000000000023,-12.969999999999999,-30.796999999999997,,,,,,,,,,,,,,,,,,-165.14800000000002,-365.76900000000006,-375.23799999999994,-373.423,-234.48400000000004,-87.97400000000005,380.88699999999994,,,,,,,,,,,,,,,,,,,,,
,Interest,-40.834,-43.49,-41.609,-41.06,-34.092,-30.358,,,,,,,,,,,,,,,,,,-12.491,-56.352,-86.022,-90.871,-129.18,-166.99300000000002,-64.45,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,-36.21700000000001,-74.28300000000002,-90.53900000000002,-53.928000000000026,-47.062,-61.155,,,,,,,,,,,,,,,,,,-177.639,-422.12100000000004,-461.25999999999993,-464.294,-363.66400000000004,-254.96700000000007,316.43699999999995,,,,,,,,,,,,,,,,,,,,,
,Taxes,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,Net Income,-36.21700000000001,-74.28300000000002,-90.53900000000002,-53.928000000000026,-47.062,-61.155,,,,,,,,,,,,,,,,,,-177.639,-422.12100000000004,-461.25999999999993,-464.294,-363.66400000000004,-254.96700000000007,316.43699999999995,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.47344880610753026,-0.9681711597004735,-1.1769695735445311,-0.6985330895790324,-0.5447878417041148,-0.7825211730485658,,,,,,,,,,,,,,,,,,-3.017828545974874,-6.393069427551756,-6.5458153931619565,-6.472924048713935,-4.859324075268748,-3.3182787293419813,3.8463894253870743,,,,,,,,,,,,,,,,,,,,,
,Shares,76.496127,76.72507,76.925523,77.201783,86.385922,78.15124,,,,,,,,,,,,,,,,,,58.863185,66.027908,70.466393,71.728634,74.838392,76.83712575000001,82.268581,,,,,,,,,,,,,,,,,,,,,
