Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
£ millions,1Q04A,2Q04A,3Q04A,4Q04A,1Q05A,2Q05A,3Q05A,4Q05A,1Q06A,2Q06E,3Q06E,4Q06E,,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
- USA,63,65,59,64,61,64,65,72,86,70,65,59,,319.0,251.0,262.0,280.0,266.0,252.7,240.065,228.06174999999996,216.65866249999996
- Europe,48,48,43,50,49,48,42,49,47,46,44,41.6,,207.0,189.0,188.0,178.6,169.67,161.18649999999997,153.12717499999997,145.47081624999996,138.19727543749994
- RoW,43,43,39,53,44,47,44,53,45,47,47,49,,178.0,178.0,188.0,188.0,178.6,169.67,161.18649999999997,153.12717499999997,145.47081624999996
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MDI steroid,,,,,,,,,,,,,,,,,,,,,,
10-22% FEV1 change,,,,,,,,,,,,,,,,,,,,,,
