Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,2380,,2510,2540,2500,2562,2556,2572,,,,,,10420.0,9795.0,10112.0,9909.76,9711.5648,9517.333504,9326.98683392,9140.4470972416,8957.638155296769,8778.485392190832,8602.915684347015,8430.857370660075,8262.240223246872,8096.995418781935,7935.055510406296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,647,,700,718,705,710,700,735,,,,,,2650.0,2680.0,2833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,1733,,1810,1822,1795,1852,1856,1837,,,,,,7770.0,7115.0,7279.0,6936.831999999999,6700.979711999999,6566.96011776,6342.351047065601,6215.504026124288,6001.617564048835,5881.585212767858,5677.92435166903,5564.36586463565,5370.456145110467,5263.047022208258,5078.43552666003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,,,538,,511,566,567,573,541,577,,,,,,2170.0,2136.0,2217.0,2106.15,2000.8425,1900.8003749999998,1805.7603562499996,1715.4723384374995,1629.6987215156244,1548.2137854398432,1470.803096167851,1397.2629413594584,1327.3997942914855,1261.0298045769111,1197.9783143480656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PD,,,345,,352,392,401,399,351,379,,,,,,1325.0,1330.0,1544.0,1466.8,1393.4599999999998,1323.7869999999998,1257.5976499999997,1194.7177674999996,1134.9818791249995,1078.2327851687494,1024.3211459103118,973.1050886147962,924.4498341840563,878.2273424748535,834.3159753511108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,212,,297,251,283,365,238,241,,,,,,921.0,963.0,1196.0,1136.2,1079.39,1025.4205,974.1494749999999,925.4420012499999,879.1699011874998,835.2114061281247,793.4508358217184,753.7782940306325,716.0893793291009,680.2849103626459,646.2706648445136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,1095,,1160,1209,1251,1337,1130,1197,,,,,,4416.0,4429.0,4957.0,4709.15,4473.6925,4250.007874999999,4037.5074812499997,3835.632107187499,3643.850501828124,3461.6579767367175,3288.5750778998813,3124.146324004887,2967.9390078046426,2819.5420574144105,2678.56495454369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,638,,650,613,544,515,726,640,,,,,,3354.0,2686.0,2322.0,2227.682,2227.2872119999993,2316.9522427600004,2304.8435658156013,2379.8719189367894,2357.7670622207115,2419.9272360311406,2389.349273769149,2440.219540630763,2402.5171373058247,2443.504964793847,2399.8705721163396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,-29,,-26,-19,-6,-15,2,1,,,,,,-160.0,-165.0,-66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,609,,624,594,538,500,728,641,,,,,,3194.0,2521.0,2256.0,2227.682,2227.2872119999993,2316.9522427600004,2304.8435658156013,2379.8719189367894,2357.7670622207115,2419.9272360311406,2389.349273769149,2440.219540630763,2402.5171373058247,2443.504964793847,2399.8705721163396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,16,,161,113,355,303,98,102,,,,,,146.0,0.0,932.0,334.15229999999997,334.0930817999999,347.5428364140001,345.7265348723402,356.9807878405184,353.66505933310674,362.9890854046711,358.40239106537234,366.0329310946144,360.3775705958737,366.52574471907707,359.98058581745096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,593,,463,481,183,197,630,539,,,,,,3048.0,2521.0,1324.0,1893.5296999999998,1893.1941301999993,1969.4094063460004,1959.1170309432612,2022.891131096271,2004.1020028876048,2056.9381506264695,2030.9468827037767,2074.1866095361484,2042.139566709951,2076.97922007477,2039.8899862988887,1999.092186572911,1959.1103428414528,1919.9281359846239,1881.5295732649313,1843.8989817996326,1807.0210021636399,1770.880582120367,1735.4629704779597,1700.7537110684004,1666.7386368470325,1633.4038641100917,1600.7357868278898,1568.721071091332,1537.3466496695055,1506.5997166761153,1476.467722342593,1446.9383678957413,1417.9996005378264,1389.6396085270699,1361.8468163565285,1334.6098800293978,1307.9176824288097,1281.7593287802335,1256.124142204629,1231.0016593605362,1206.3816261733255,1182.253993649859,1158.6089137768618,1135.4367355013244,1112.728000791298,1090.473440775472,1068.6639719599625,1047.2906925207633,1026.344878670348,1005.817981096941,985.7016214750022,965.9875890455021,946.667837264592,927.7344805193002,909.1797909089141,890.9961950907358,873.1762711889211,855.7127457651426
,EPS,,,1.082116788321168,,0.8621973929236499,0.8957169459962756,0.34398496240601506,0.3696060037523452,1.2138728323699421,1.0631163708086786,,,,,,4.597285067873303,4.517921146953405,2.4840525328330205,3.5525885553470915,3.551958968480299,3.6949519818874306,3.675641709086794,3.7952929288860617,3.7600412812150186,3.859171014308573,3.810406909387949,3.891532100443055,3.8314063165289887,3.8967715198400943,3.8271857153825306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,548,,537,537,532,533,519,507,,,,,,663.0,558.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
