Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Revenue,,,12537,16447,20251,20751,19954,23363,19931,22798,,
,COGS,,,2475,2020,2083,4649,2595,2039,2147,3014,,
,Gross Profit,,,10062,14427,18168,16102,17359,21324,17784,19784,,
,R&D,,,,19787,13418,12055,,13388,13267,12341,,
,SG&A,,,,10793,12251,11270,,11135,11425,17232,,
,Operating Expenses,,,,30580,25669,23325,0,24523,24692,29573,,
,Operating Income,,,,-16153,-7501,-7223,17359,-3199,-6908,-9789,,
,Interest Income,,,,2310,1111,1100,,2406,439,640,,
,Pretax Income,,,,-13843,-6390,-6123,17359,-793,-6469,-9149,,
,Taxes,,,,1157,0,179,,195,160,100,,
,Net Income,,,,-15000,-6390,-6302,17359,-988,-6629,-9249,,
,EPS,,,,-0.3356268956626601,-0.1463193839821125,-0.14433236000219132,,-0.022646386079165623,-0.15141805325310576,-0.21009779667403536,,
,S/O,,,,44692.485,43671.589,43663.112,,43627.27,43779.456,44022.356,,
