Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Brand,Generic,Indication,MOA,Economics,Outcome,Approval
,Kepivance (palifermin),,Mucositis,Recombinant Protein,1,Divested,
,Ravicti,,,,,,
,Procysbi,,,,,,
,Actimmune,,,,,,
,Buphenyl,,,,,,
,Quinsair,,,,,,
,Kanjinti,,,,,,
,Aimovig,,,,,,
,Riabni,,,,,,
,Corlanor,,,,,,
,Avsola,,,,,,
,Imlygic,,,,,,
,Bekemv,,,,,,
,Wezlana,,,,,,
,Rayos,,,,,,
,Pennsaid,,,,,,
,Neupogen (filgrastim),,Chemo-induced neutropenia,Recombinant Protein,1,1991,"EU 2006, US 2013. TEVA ANDA."
,Sensipar/Mimpara (cinacalcet),, Hyperparathyroidism,Calcimimetic,"100%, NPSP",,
,Imlygic,talimogene laherparepvec,Melanoma,,,,
,Corlanor,ivabradine,CHF,,Servier,,2015-04-15 00:00:00
,,,,,,,
,AMG827 (brodalumab),,"Psoriasis, Psoriatic Arthritis",IL-17 antibody,AZN,,
,AMG706 (motesanib),,"Thyroid, GIST, mCRC, NSCLC",Oral RTK inhibitor,Takeda,II,
,AMG222,,,Type 2 Diabetes,,,
,AMG479,,"Cancer, mPC",IGF-1 inhibitor,1,II,
,AMG745,,Cachexia,anti-myostatin antibody,,I,
