Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123
,,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orkambi,282,315,293,316,297,269.8,234,231.7,226,215,218.7,221,185,147,132.1,122,146.2,111,,,,,,,,,,,,,,,,,,,,,,,,,771.7,511.29999999999995,326.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other CF,,,,,,,,,,,,,,,,,,,278.1,252.8,209.3,184.4,207,196.4,186.9,191.2,166.60000000000002,193.7,,,,,,,,,,,,,,,,,924.6,781.5,360.3,363.903,367.54203,371.2174503,374.929624803,378.67892105103004,382.4657102615403,386.2903673641557,390.15327103779725,394.05480374817523,197.02740187408762,98.51370093704381,49.256850468521904,24.628425234260952,12.314212617130476,6.157106308565238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kalydeco,246,259,244,262,249,235.7,213,202.7,194,193,186.3,183,162,152,139,139,139.4,136,,,,,,,,,,,,,,,,,,,,,,,,,683.3,553.4,476.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,783,869.933,858.182,940.913,950,1257,1515,1524.4,1538,1627,1723.3,1794,1984,2072,2097.5,2197,2334.2999999999997,2303,2374.7999999999997,2493.2000000000003,2483.6000000000004,2517.7000000000003,2690.6,2645.6,2771.9,2912,2770.2,2964.7,3076.4,3229,0,0,0,0,,,,,,,,0.0,7573.3,8931.8,9869.300000000001,11020.099999999999,11741.0,11967.597,12451.30837,12474.6795537,12396.211499237,11809.87730922937,12122.542263321664,11866.76520140488,11711.156594332431,11636.992653416659,11428.364089974388,11372.798885251535,11411.548338319339,11512.431597991565,11657.134782058021,7042.281806085456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,111.255,122.289,95.092,135.74,131.914,185.012,162.497,184.5,186.182,203.1,192.3,228,236.512,247.4,145.8,261.8,287,280.9,265,306.8,317,364.2,335.8,365,385.7,416.3,355.4,399.9,407,419.77,,,,,,,,,,,,,904.212,975.5,1253.0,771.4069999999999,821.8700000000001,837.73179,871.5915859000002,873.2275687590001,867.7348049465901,826.691411646056,848.5779584325165,830.6735640983417,585.5578297166215,581.849632670833,571.4182044987194,568.6399442625768,570.577416915967,575.6215798995783,582.8567391029011,492.95972642598196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,671.745,747.644,763.09,805.173,818.086,1071.988,1352.503,1339.9,1351.818,1423.9,1531,1566,1747.488,1824.6,1951.7,1935.2,2047.2999999999997,2022.1,2109.7999999999997,2186.4,2166.6000000000004,2153.5000000000005,2354.7999999999997,2280.6,2386.2000000000003,2495.7,2414.7999999999997,2564.7999999999997,2669.4,2809.23,,,,,,,,,,,,0.0,6669.088,7956.299999999999,8616.300000000001,10248.693,10919.13,11129.86521,11579.716784100001,11601.451984940999,11528.47669429041,10983.185897583315,11273.964304889147,11036.091637306537,11125.59876461581,11055.143020745825,10856.945885475669,10804.158940988958,10840.970921403372,10936.810018091986,11074.27804295512,6549.322079659474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,137.295,153.21,147.045,156.502,159.674,195.277,182.258,191.8,184.551,175,151,194.6,198.189,210,167,173.3,180.4,225.6,196.9,219.6,215.7,285.6,272,280.4,300.1,310.1,333,359.4,369,310.1,,,,,,,,,,,,609.0,673.0,746.3000000000001,917.8000000000001,1102.01,1174.1000000000001,1196.7597,1245.1308370000002,1247.46795537,1239.6211499237002,1180.987730922937,1212.2542263321664,1186.676520140488,1171.115659433243,1163.699265341666,1142.8364089974389,1137.2798885251536,1141.154833831934,1151.2431597991565,1165.7134782058022,704.2281806085457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,330.51,437.881,339.49,379.091,555.948,480.011,448.528,420.9,493.497,364,380,448.7,493.751,493,520,514.8,548.5,623.2,663.5,708.4,726,698.8,669.7,697.2,764,899.8,879,878.1,861.1,899.8,,,,,,,,,,,,1372.0,1658.0,2206.5,2796.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpEx,467.80499999999995,591.091,486.53499999999997,535.5930000000001,715.622,675.288,630.7860000000001,612.7,678.048,539,531,643.3,691.9399999999999,703,687,688.0999999999999,728.9,848.8000000000001,860.4,928,941.7,984.4,941.7,977.6,1064.1,1209.9,1212,1237.5,1230.1,1209.9,,,,,,,,,,,,1981.0,2331.0,2952.8,3714.5,1102.01,1174.1000000000001,1196.7597,1245.1308370000002,1247.46795537,1239.6211499237002,1180.987730922937,1212.2542263321664,1186.676520140488,1171.115659433243,1163.699265341666,1142.8364089974389,1137.2798885251536,1141.154833831934,1151.2431597991565,1165.7134782058022,704.2281806085457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpInc,203.94000000000005,156.553,276.55500000000006,269.5799999999999,102.46400000000006,396.70000000000005,721.7169999999999,727.2,673.77,884.9000000000001,1000,922.7,1055.5480000000002,1121.6,1264.7,1247.1000000000001,1318.3999999999996,1173.2999999999997,1249.3999999999996,1258.4,1224.9000000000003,1169.1000000000004,1413.0999999999997,1303,1322.1000000000004,1285.7999999999997,1202.7999999999997,1327.2999999999997,1439.3000000000002,1599.33,,,,,,,,,,,,-1981.0,4338.088,5003.499999999999,4901.800000000001,9146.682999999999,9745.029999999999,9933.10551,10334.5859471,10353.984029570998,10288.85554436671,9802.198166660377,10061.71007855698,9849.415117166049,9954.483105182568,9891.44375540416,9714.10947647823,9666.879052463804,9699.816087571438,9785.56685829283,9908.564564749318,5845.0938990509285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
