Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95
,Gross Profit,,,,,,,,,446.985,833.408,1697.522,,913.3019999999999,1455.745,2193.3149999999996,,,,,2178.751,2802.3489999999993,1624.256,3988.87,5481.959564000001,6132.9038159232,7580.269116481076,9369.212627970608,11580.346808171673,13716.920794279346,14834.849839013114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PD,,,,,,,,,363.061,349.734,344.41,,362.927,375.05,366.182,,,,,579.193,976.695,2752.872,1425.048,1467.79944,1511.8334232,1557.188425896,1603.90407867288,1652.0212010330663,1701.5818370640584,1752.6292921759803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,,,,,,,,,229.125,315.323,290.856,,344.616,379.875,383.165,,,,,1101.327,1621.519,1175.325,1186.332,1221.9219600000001,1258.5796188000002,1296.337007364,1335.22711758492,1375.2839311124676,1416.5424490458417,1459.0387225172171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,,,,,,,189.762,218.303,210.748,,210.573,243.254,240.435,,,,,479.487,697.181,1134.51,835.324,860.3837199999999,886.1952315999999,912.781088548,940.16452120444,968.3694568405732,997.4205405457905,1027.3431567621642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpEx,,,,,,,,,781.9479999999999,883.36,846.0140000000001,,918.116,998.179,989.7819999999999,,,,,2160.007,3295.395,5062.707,3446.7039999999997,3550.10512,3656.6082736,3766.306521808,3879.2957174622397,3995.6745889861068,4115.5448266556905,4239.011171455361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpInc,,,,,,,,,-334.96299999999985,-49.952,851.5079999999998,,-4.814000000000078,457.5659999999999,1203.5329999999997,,,,,18.744000000000142,-493.04600000000073,-3438.451,542.1660000000002,1931.8544440000005,2476.2955423232006,3813.9625946730757,5489.916910508368,7584.672219185566,9601.375967623655,10595.838667557753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,,,,,,,3.052,-3.5779999999999994,9.956000000000001,,-1.0200000000000005,12.764,54.946999999999996,,,,,40.650000000000006,85.902,27.117,12.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,,,,,-338.0149999999999,-46.373999999999995,841.5519999999998,,-3.7940000000000778,444.8019999999999,1148.5859999999998,,,,,59.39400000000015,-407.14400000000074,-3411.334,554.9000000000002,1931.8544440000005,2476.2955423232006,3813.9625946730757,5489.916910508368,7584.672219185566,9601.375967623655,10595.838667557753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,6.309,11.233,16.565,,10.706,4.27,55.611,,,,,63.893,262.636,0.0,51.827,386.3708888000001,495.2591084646401,762.7925189346151,1097.9833821016737,1516.9344438371133,1920.275193524731,2119.1677335115505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,,,,,-344.3239999999999,-57.607,824.9869999999997,,-14.500000000000078,440.5319999999999,1092.9749999999997,,,,,-4.498999999999853,-669.7800000000008,-3411.334,503.0730000000002,1545.4835552000004,1981.0364338585605,3051.1700757384606,4391.933528406695,6067.7377753484525,7681.100774098924,8476.670934046202,8561.437643386664,8647.05201982053,8733.522540018736,8820.857765418923,8909.066343073113,8998.157006503845,9088.138576568883,9179.019962334572,9270.810161957917,9363.518263577496,9457.153446213271,9551.724980675404,9647.24223048216,9743.71465278698,9841.15179931485,9939.563317307999,10038.95895048108,10139.348539985891,10240.74202538575,10343.149445639609,10446.580940096004,10551.046749496965,10656.557216991934,10763.122789161853,10870.754017053472,10979.461557224007,11089.256172796247,11200.14873452421,11312.150221869451,11425.271724088147,11539.524441329027,11654.919685742318,11771.46888259974,11889.183571425738,12008.075407139995,12128.156161211395,12249.437722823508,12371.932100051743,12495.65142105226,12620.607935262782,12746.81401461541,12874.282154761564,13003.02497630918,13133.055226072272,13264.385778332995,13397.029636116325,13530.999932477489,13666.309931802263,13802.973031120286,13941.00276143149,14080.412789045804,14221.216916936262,14363.429086105625,14507.063376966682,14652.134010736349,14798.655350843712,14946.64190435215,15096.10832339567,15247.069406629627,15399.540100695924,15553.535501702883,15709.070856719913,15866.161565287111,16024.823180939982
,EPS,,,,,,,,,-0.5729566027689029,-0.09416924538079148,1.2098073663031805,,-0.022823359787443813,0.644489829357927,1.6071767302542863,,,,,-0.017551867543674278,-2.570579836964034,-11.996406002187344,0.8168214830221585,2.3194906149304453,2.9731765185787253,4.579253096171652,6.5914959536527595,9.106574299302949,11.527939652228678,12.721946222733804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,,,,,600.96,611.739,681.916,,635.314,683.536,680.059,,,,,256.326,260.556,284.363,615.891,666.303,666.303,666.303,666.303,666.303,666.303,666.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.0033682795314444736,-0.7241657177603944,-0.18437063461827086,-0.22364735687516035,0.05358088925317461,2.990632486393806,0.6668258425082934,0.7822601668404592,0.7012918632235019,0.5749775442378513,0.28916096667965774,0.10000000000000009,,,,,0.3157882630952755,-0.29697586321929037,0.7736551339929945,0.3655468843878926,0.11874298675932371,0.236,0.23599999999999977,0.236,0.1844999999999999,0.08150000000000013,,,,Discount,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nights,,,,,,,,,,,,,,,,,,,0.47812251392203664,0.34714747039827776,0.30603276068717533,-0.4089935760171306,0.5559006211180124,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.1499999999999999,0.050000000000000044,,,,Terminal,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,0.5039653368450485,0.6238270606904398,0.7586921077377995,,0.6052618498983059,0.6918588265710821,0.760403340717859,0,,,,,0.5831861849119262,0.48080530483846573,0.6657259302775812,0.67,0.67,0.67,0.67,0.67,0.67,0.67,,,,NPV,93091.32872449631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Share,147.02255738816842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,1930.764,258.93000000000006,,,2967.302,,,,,595.557,222.727,-629.732,2189.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
