Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113
,,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022,2023,2024,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Network,5015,,,,5223,4736,5720,7411,6800,7597,7999,9305,8174,8259,7872,8475,7496,7850,7669,8297,7413,7444,7548,7954,7256,7354,7354,8033.54,,,,,,,,,,,,,,17616.0,20010.0,21547.0,23090.0,31701.0,32780,31312,30359,29997.54,30897.466200000003,31824.390186000004,32779.121891580005,33762.49554832741,34775.37041477723,35818.63152722055,36893.19047303716,37999.98618722828,39139.985772845124,40314.18534603048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YouTube,3025,,,,4038,3812,5037,6885,6005,7002,7205,8633,6869,7340,7071,7963,6693,7665,7952,9200,8090,8663,8921,10473,8927,9796,10261,11729.76,,,,,,,,,,,,,,8150.0,11155.0,15149.0,19772.0,28845.0,29243,31510,36147,40713.76,42749.448000000004,44886.9204,47131.26642000001,49487.82974100001,51962.22122805001,54560.33228945251,57288.348903925136,60152.7663491214,63160.40466657747,66318.42489990636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Google Search,22547,,,,24502,21319,26338,31903,31879,35845,37926,43301,39618,40689,39539,42604,40359,42628,44026,48020,46156,48509,49385,54034,50702,54190,56567,59977.740000000005,,,,,,,,,,,,,,69811.0,85296.0,98115.0,104062.0,148951.0,162450,175033,198084,221436.74,243580.41400000002,267938.45540000004,286694.1472780001,306762.7375874601,322100.8744668331,338205.91819017474,355116.2140996835,372872.0248046677,391515.6260449011,411091.40734714613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Services,34207,0,0,0,38198,34991,42573,52873,51178,57067,59884,69400,61472,62841,61377,67838,61961,66285,67986,76311,70398,73928,76510,84094,77264,82543,87052,92537.34,,,,,,,,,,,,,,106491.0,130524.0,151825.0,168635.0,237529.0,253528,272543,304930,339396.33999999997,365893.07720000006,394775.48745600006,418234.0287036801,443191.4407843105,463612.19535440905,485001.82312893897,507407.2028323997,530877.5101774439,555464.331305843,581221.7818592478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,36339,0,0,0,41159,38297,46173,56898,55314,61880,65118,75325,68011,69685,69092,76048,69787,74604,76693,86310,80539,84742,88268,96469,90234,96428,102346,108478.84,0,0,0,0,,,,,46039.0,55519.0,66001.0,74989.0,90272.0,110855.0,136819.0,161857.0,182527.0,257637.0,282836,307394,350018,397545.83999999997,441032.99720000004,491998.40915600007,525035.3778706801,560527.6215179805,592535.2377779158,626668.9458474307,663091.3316359015,701978.8486125881,743523.088303307,787932.1721224516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,16012,,,,18982,18553,21117,26080,24103,26227,27621,32988,29599,30104,31158,35342,30612,31916,33229,37575,33712,35507,36474,40613,37898.280000000006,39039,41369,45561.1128,,,,,,,,,,,25691.0,28164.0,35138.0,45583.0,59549.0,71896.0,84732.0,110939.0,126203,135253.36,146306,163926.39279999997,194054.518768,216479.30002864002,231015.5662630992,246632.15346791135,260715.50462228293,275734.3361728695,291760.18591979664,308870.69338953873,327150.15885345504,346690.15573387867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAC,6860,,,,7452,,,,,10929,,13427,,12214,11826,12925,11721,12537,12642,13986,12946,13387,13719,14848,13748,14705,14876,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,20327,,,,22177,19744,25056,30818,31211,35653,37497,42337,38412,39581,37934,40706,39175,42688,43464,48735,46827,49235,51794,55856,52335.719999999994,57389,60977,62917.727199999994,,,,,,,,,,,40310.0,46825.0,55134.0,65272.0,77270.0,89961.0,97795.0,146698.0,156633,172140.64,203712,233619.4472,246978.47843200003,275519.10912736005,294019.81160758086,313895.4680500691,331819.73315563286,350934.60967456124,371331.14571610483,393108.1552230494,416372.9294498519,441242.0163885729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,6029,,,,6820,6875,6856,7022,7485,7675,7694,8708,9119,9841,10273,10267,11468,10588,11258,12113,11903,11860,12447,13116,12498.15,13808,15151,13771.800000000001,,,,,,,,,,,9832.0,12282.0,13948.0,16625.0,21419.0,26018.0,27573.0,31562.0,39500,41475,49326,55228.950000000004,57990.39750000001,60889.91737500001,63934.413243750016,65852.44564106251,67828.01901029439,69862.85958060322,71958.74536802132,74117.50772906197,76341.03296093382,78631.26394976184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,3905,,,,4500,3901,4231,5314,4516,5276,5516,7604,5825,6630,6929,7183,6533,6781,6884,7719,6426,6792,7227,7363,6172,7101,7205,7731.150000000001,,,,,,,,,,,8131.0,9047.0,10485.0,12893.0,16333.0,18464.0,17946.0,22912.0,26567,27895.350000000002,27808,28209.15,29619.607500000002,31100.587875000005,32655.617268750007,33635.28578681251,34644.344360416886,35683.6746912294,36754.18493196628,37856.81047992527,38992.514794323026,40162.29023815272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,2088,,,,2880,2585,2756,2831,2773,3341,3256,4140,3374,3657,3597,5096,3759,3481,3979,5206,3026,3158,3599,4405,3539,5209,7393,4625.25,,,,,,,,,,,5851.0,6136.0,6985.0,6872.0,8126.0,9551.0,11052.0,13510.0,15724,16510.2,14188,20766.25,21804.5625,22894.790625,24039.530156250003,24760.716060937502,25503.53754276563,26268.643669048597,27056.702979120055,27868.404068493655,28704.456190548466,29565.58987626492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpEx,12022,,,,14200,13361,13843,15167,14774,16292,16466,20452,18318,20128,20799,22546,21760,20850,22121,25038,21355,21810,23273,24884,22209.15,26118,29749,26128.2,,,,,,,,,,,23814.0,27465.0,31418.0,36390.0,45878.0,54033.0,56571.0,67984.0,81791,85880.55,91322,104204.35,109414.5675,114885.29587500001,120629.56066875003,124248.44748881253,127975.9009134769,131815.1779408812,135769.63327910766,139842.7222774809,144038.0039458053,148359.14406417948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpInc,8305,,,,7977,6383,11213,15651,16437,19361,21031,21885,20094,19453,17135,18160,17415,21838,21343,23697,25472,27425,28521,30972,30126.569999999992,31271,31228,36789.5272,,,,,,,,,,,16496.0,19360.0,23716.0,28882.0,31392.0,35928.0,41224.0,78714.0,74842,86260.09000000001,112390,129415.09719999999,137563.91093200003,160633.81325236004,173390.25093883084,189647.0205612566,203843.83224215597,219119.43173368004,235561.51243699717,253265.4329455685,272334.9255040466,292882.8723243935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,1538,,,,-220,1894,2146,3038,4846,2264,2033,2517,-1160,-439,-902,-1013,790,65,-146,244,600,126,0,1338,0,2662,2025,1338,,,,,,,,,,,763.0,291.0,434.0,1047.0,8592.0,5394.0,6858.0,12020.0,-3514,3886.5899999999997,2064,6025.0,6880.174269119999,10433.498765067552,14641.75464069627,19267.341977952638,24406.635296417182,30021.59679786608,36150.466099742116,42834.580771745896,50118.641109191834,58050.998847877505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax,9843,,,,7757,8277,13359,18689,21283,21625,23064,24402,18934,19014,16233,17147,18205,21903,21197,23941,26072,27551,28521,32310,30126.569999999992,33933,33253,38127.5272,,,,,,,,,,,17259.0,19651.0,24150.0,29929.0,39984.0,41322.0,48082.0,90734.0,71328,90146.68000000001,114454,135440.0972,144444.08520112003,171067.31201742758,188032.00557952712,208914.36253920922,228250.46753857314,249141.02853154612,271711.9785367393,296100.0137173144,322453.5666132384,350933.87117227097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,1489,,,,921,1318,2112,3462,3353,3460,4128,3760,2498,3012,2323,3523,3154,3535,1508,3725,4653,3932,5405,5707,7249,5737,9008,6862.954895999999,,,,,,,,,,,3639.0,3303.0,4672.0,14531.0,4177.0,5282.0,7813.0,14701.0,11356,16226.4024,19697,28856.954896,25999.935336201605,30792.116163136965,33845.76100431488,37604.58525705766,41085.084156943165,44845.3851356783,48908.15613661307,53298.00246911659,58041.641990382916,63168.09681100877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,8354,,,,6836,6959,11247,15227,17930,18165,18936,20642,16436,16002,13910,13624,15051,18368,19689,20216,21419,23619,23116,26603,22877.569999999992,28196,24245,31264.572303999998,,,,,,,,,,,13620.0,16348.0,19478.0,15398.0,35807.0,36040.0,40269.0,76033.0,59972,73920.2776,94757,106583.142304,118444.14986491844,140275.19585429062,154186.24457521224,171309.77728215157,187165.38338162997,204295.64339586784,222803.82240012623,242802.0112481978,264411.9246228555,287765.7743612622,293521.08984848746,299391.51164545724,305379.34187836637,311486.9287159337,317716.6672902524,324071.00063605746,330552.4206487786,337163.4690617542,343906.73844298924,350784.873211849,357800.570676086,364956.5820896077,372255.71373139985,379700.82800602785,387294.8445661484,395040.7414574714,402941.55628662085,411000.3874123533,419220.39516060037,427604.8030638124,436156.89912508865,444880.0371075904,453777.63784974226,462853.1906067371,472110.25441887183,481552.4595072493,491183.5086973943,501007.17887134216,511027.322448769,521247.8688977444,531672.8262756993,542306.2828012133,553152.4084572376,564215.4566263824,575499.7657589101,587009.7610740883,598749.95629557,610724.9554214814,622939.454529911,635398.2436205093,648106.2084929195,661068.3326627779,674289.6993160334,687775.4933023541,701531.0031684012,715561.6232317692,729872.8556964046,744470.3128103327,759359.7190665394,774546.9134478702,790037.8517168276,805838.6087511642
,EPS,11.919318455824756,,,,9.874802641177464,10.129194904399265,16.398605528022852,22.295301836540162,26.287585896482916,1.336447910535609,27.990344690984287,30.69474329100823,24.621339792764896,1.2087015635622025,1.0620752844162786,1.0522901058160192,1.173750292443266,1.4544302795154012,1.5508034026465027,1.6041898111410886,1.7098267741677975,1.8902761104441776,1.8613414928738223,2.1544379656624555,1.8613269872264253,2.311526479750779,1.986806522986151,2.5620398511841347,,,,,,,,,,,,,,,,,58.613331625494155,112.19701508394893,4.579996436117404,5.82622877635468,7.751876469986706,8.719348997157173,9.689673779725407,11.475627025609214,12.613661484831761,14.014502692066802,15.31161741541098,16.713008969904312,18.227125260261886,19.863136210099015,21.630999048807077,23.54152975652007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,700.879,,,,692.267,687.024,685.851,682.969,682.071,13592,676.519,672.493,667.551,13239,13097,12947,12823,12629,12696,12602,12527,12495,12419,12348,12291,12198,12203,12203,,,,,,,,,,,,687.348,691.293,,,,687.028,677.674,13094.333333333334,12687.5,12223.75,12223.75,12223.75,12223.75,12223.75,12223.75,12223.75,12223.75,12223.75,12223.75,12223.75,12223.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,,,,,0.3439102018999489,0.6157923597148602,0.410304723539731,0.32386024113325607,0.2295440575622807,0.126131221719457,0.06102767284007493,0.00959840690341851,0.026113422828660138,0.07058907942885839,0.11001273664100042,0.13494108983799702,0.15406880937710454,0.1358908369524423,0.15092642092498654,0.11770362646275045,0.12037646357665222,0.13790092280097244,0.1594915484660353,0.12449429350361263,,,,,,,,,,0.2059123786355046,0.18880023055170292,0.13617975485219924,0.20380322447292265,0.22801090038993266,0.23421586757475987,0.18300089899794614,0.1277053201282614,0.41150076427049154,0.09780815643715779,0.0868277022726951,0.1386624332290156,0.13578684524795848,0.10938903850685522,0.11555918101268103,0.06714852751526856,0.0675997183108723,0.057102656552864506,0.05760620785612813,0.058120617001721,0.058645793002221724,0.059181611771961684,0.059727915000574505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue CC%,,,,,,,,,,,,,,0.16,,0.07,0.06,0.09,0.11,0.13,0.16,0.15,0.16,0.12,0.14,0.13,0.15,,,,,,,,,,,,,,,,,,,,0.14,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Search Growth,,,,,,,,,0.30107746306423966,0.6813640414653594,0.4399726630723668,0.35727047613077145,0.24276169265033398,0.13513739712651684,0.04253019037072203,-0.01609662594397354,0.018703619566863505,0.04765415714320831,0.11348289031083225,0.12712421368885551,0.14363586808394668,0.1379609646241906,0.1217235270067687,0.12523948354852155,0.09849207037004937,0.11711228844132027,0.14542877391920617,0.1100000000000001,,,,,,,,,,,,,,,0.221813181303806,0.15028840742824978,0.06061254650155434,0.43136783840402826,0.09062711898543818,0.07745767928593406,0.13169516605440124,0.11789311605177599,0.10000000000000009,0.10000000000000009,0.07000000000000006,0.07000000000000006,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,,Terminal,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
