Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,,,,,,,,Price,0.61,
,norovirus,,,,,,,,Shares,227.479811,Q324
,COVID-19,,,,,,,,MC,138.76268471,
,influenza,,,,,,,,Cash,58.711,Q324
,HPV,,,,,,,,Debt,0.0,Q324
,,,,,,,,,EV,80.05168471,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,PIC,533.503,Q324
,,,,,,,,,AD,464.537,Q324
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Founded,2004.0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,2018: reverse merger with Aviragen?,,,,,,
