Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132
,,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412,Q113,Q213,Q313,Q413,Q114,Q214,Q314,Q414,Q115,Q215,Q315,Q415,Q116,Q216,Q316,Q416,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jakavi royalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.046,65.602,82.038,94.655,95.696,70.867,83.711,85.808,91.189,76.692,90.448,96.551,103.892,89.595,99.317,96.551,103.892,,,,,,,,,,,,,,,,,331.57500000000005,328.25925000000007,389.35499999999996,385.46144999999996,381.60683549999993,377.7907671449999,75.55815342899999,15.111630685799998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Olumiant royalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.996,32.258,36.045,86.572,66,48.064,30.254,20.371,35.858,34.155,32.009,29.615,40.359,30.589,31.702,29.615,40.359,,,,,,,,,,,,,,,,,134.547,133.20153,132.265,130.94234999999998,129.63292649999997,128.33659723499997,25.667319446999997,5.1334638894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tabrecta royalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.047,2.479,2.747,3.119,3.483,3.581,4.114,4.233,4.177,4.799,4.139,4.678,5.234,5.298,5.298,5.298,,,,,,,,,,,,,,,,,15.411000000000001,15.411000000000001,21.128,21.128,21.128,21.128,21.128,21.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pemaryze royalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.205,0.412,0.349,0.523,0.683,0.548,0.876,0.876,0.876,,,,,,,,,,,,,,,,,,,3.1759999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Royalty,551,110,135,134,235,74,45,140,163,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3260.0,3510.0,930.0,495.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,17288,49847,16872,85871,31973,16811,16782,28889,36179,86542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,679.509,604.7180000000001,695.712,777.987,812.8530000000001,733.2349999999999,781.397,823.303,896.6999999999999,808.6730000000001,954.61,914.0250000000001,1011.3409999999999,855.4220000000001,1043.759,978.7713200000001,1086.0691699999998,,,3919.0,9265.0,169878.0,92443.0,214706.44,0.0,0.0,0.0,,,,,,,3233.4300000000007,3697.2052800000006,3964.02149,4333.157849,4749.8325465,5221.350745864001,2214.27125888406,829.8678721729594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,,0,,,,,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.693,23.596,32.302,33.965,37.886,36.619,44.575,48.521,53.022,50.669,62.15,53.914,63.575,54.959,70.899,68.5139924,76.02484189999996,,,,,,,10735.322,0.0,0.0,0.0,,,,,,,161.67150000000004,184.86026400000003,198.2010745,216.65789245000002,237.491627325,261.0675372932,110.713562944203,41.49339360864798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross profit,17288,49847,16872,85871,31973,16811,16782,28889,36168,86526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.816,581.1220000000001,663.41,744.0219999999999,774.9670000000001,696.6159999999999,736.822,774.782,843.6779999999999,758.0040000000001,892.46,860.1110000000001,947.7659999999998,800.4630000000002,972.86,910.2573276,1010.0443280999998,,,3919.0,9265.0,169878.0,92443.0,203971.11800000002,0.0,0.0,0.0,,,,,,,3071.758500000001,3512.3450160000007,3765.8204155000003,4116.49995655,4512.340919175,4960.2832085708005,2103.557695939857,788.3744785643114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,31439,28883,30609,32949,36282,46047,44604,51877,48960,51588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.77,277.022,315.473,334.945,442.693,327.045,319.059,384.007,469.048,375.62,367.921,348.868,408.488,388.437,1089.089,,,,,146362.0,119442.0,123880.0,178707.0,100000.0,75000.0,,,,,,,,,1499.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,5794,7485,8458,10591,10825,11858,14282,21152,21396,19719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.148,123.313,152.523,308.675,208.718,192.682,235.595,266.46,253.209,294.017,263.03,241.896,270.673,277.335,262.572,241.896,270.673,,,17073.0,27580.0,32328.0,58219.0,59383.380000000005,60571.047600000005,61782.468552000006,,,,,,,,947.9459999999999,758.3568,606.6854400000001,485.3483520000001,388.2786816000001,310.62294528000007,248.49835622400008,198.79868497920006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
