Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,Based in Cincinatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HARMONIC line of surgical tools, including scalpel and shears.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REALIZE - adjustable gastic band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sedasys - personal sedation system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES - natural orifice transluminal endoscopic surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENSEAL - Vessel sealer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Q106: 7% operational growth driven by endocutter sales including bariatric procedures for obesity. Harmonic scalpel, an ultrasonic cutting and coagulating surgical device used for plastic surgery was strong.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,,,,,,,,,,,,,,
,Ethicon Endosurgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Endoscopy,490.0,525.0,584.49,655.5280500000001,721.405467,775.5366412350002,842.7922421274002,941.0864062541762,1082.683635148312,1236.1595511053026,1372.0753073031092,1507.8001441583765,1651.241904999441,1800.3006683316348,1954.0633675366314,,0.07142857142857142,0.11331428571428573,0.12153852076168986,0.10049519162452303,0.07503571391010835,0.08672137113379855,0.11662917527415657,0.15046145386132823,0.1417550898291416,0.10995001096442487,0.09891937864696514,0.09513313909459185,0.09027070042305177,0.08540945515922667
,    U.S.,340.0,360.0,404.64000000000004,453.1968000000001,482.6545920000001,521.2669593600001,568.1809857024001,633.5217990581762,690.5387609734121,761.6642533536735,826.4057148887357,896.6502006542783,972.8654677098918,1050.6947051266832,1129.4968080111844,,0.058823529411764705,0.124,0.12,0.065,0.08,0.09,0.115,0.09,0.103,0.085,0.085,0.085,0.08,0.075
,    International,150.0,165.0,179.85000000000002,202.33125,238.750875,254.269681875,274.611256425,307.56460719600005,392.14487417490005,474.49529775162904,545.6695924143734,611.1499435040982,678.3764372895491,749.6059632049518,824.566559525447,,0.1,0.09,0.125,0.18,0.065,0.08,0.12,0.275,0.21,0.15,0.12,0.11,0.105,0.09999999999999999
,  Mechanical,315.0,346.0,389.296,458.511205,519.442244265,553.4131752271501,604.2534366783339,669.7969228921279,814.5420656922445,933.0530757721342,1048.0960383237386,1145.2175853791546,1244.1356174037214,1351.6241482577345,1468.427952911623,,0.09841269841269841,0.1251329479768786,0.11,0.13288887730671703,0.0653988606764516,0.0918667348863103,0.10847019186865664,0.2161030274297454,0.1454940328700793,0.1232973402465903,0.09266474016135606,0.08637488044843236,0.08639615275891031,0.08641737039431442
