Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
Chantix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,2007,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,,Q306,Q406,Q107,Q207,Q307,Q407,Q108,Q208,Q308,Q408,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US Rx,,,,,,,,,,316250,586500,1319625,1533333.3333333333,1972000,2500000,2500000,2500000,2500000,2500000,2500000,2000000,2000000,2000000,2000000,1500000,1500000,1500000,1000000,1000000,1000000,1000000,500000,500000,500000,500000
,US Rx/Patient,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,US Patients,,,,,,,,,,158125,293250,659812.5,766666.6666666666,986000,1250000,1250000,1250000,1250000,1250000,1250000,1000000,1000000,1000000,1000000,750000,750000,750000,500000,500000,500000,500000,250000,250000,250000,250000
,US Cum. Patients,,,,,,,,,,,,,1877854.1666666665,2863854.1666666665,4113854.1666666665,5363854.166666666,6613854.166666666,7863854.166666666,9113854.166666666,10363854.166666666,11363854.166666666,12363854.166666666,13363854.166666666,14363854.166666666,15113854.166666666,15863854.166666666,16613854.166666666,17113854.166666664,17613854.166666664,18113854.166666664,18613854.166666664,18863854.166666664,19113854.166666664,19363854.166666664,19613854.166666664
,% of US Smokers,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
,US Smokers,,,,,,,,,,,,,50000000,,,,,,,,,,,,,,,,,,,,,,
,Annual Quit Attempts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,% using drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US Price,,,,,,,,,,104.34782608695653,104.34782608695653,104.34782608695653,104.34782608695653,104,104,109.2,109.2,109.2,109.2,114.66000000000001,114.66000000000001,114.66000000000001,114.66000000000001,120.39300000000001,120.39300000000001,120.39300000000001,120.39300000000001,126.41265000000003,126.41265000000003,126.41265000000003,126.41265000000003,132.73328250000003,132.73328250000003,132.73328250000003,132.73328250000003
,WW Revenue,,,,,,,,,,33,68,162,200,285.08799999999997,,,,,,,,,,,,,,,,,,,,,
,US Revenue,,,,,,,,,,33,61.2,137.7,160,205.088,260,273,273,273,273,286.65,229.32000000000002,229.32000000000002,229.32000000000002,240.78600000000003,180.58950000000004,180.58950000000004,180.58950000000004,126.41265000000003,126.41265000000003,126.41265000000003,126.41265000000003,66.36664125000001,66.36664125000001,66.36664125000001,66.36664125000001
,EU Revenue,,,,,,,,,,0,6.800000000000001,24.3,40,80,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NRX,TRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-08-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-08-10 00:00:00,126522,151719,,1972347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-08-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-07-27 00:00:00,127225,151313,,2622758.6666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-07-20 00:00:00,130489,155053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-07-13 00:00:00,127900,152449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-06-08 00:00:00,126421,149128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-06-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-04-20 00:00:00,122319,141371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-01-26 00:00:00,92668,101749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-01-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-01-12 00:00:00,89432,97757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-01-05 00:00:00,73901,87569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-12-29 00:00:00,55190,61920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-12-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-12-15 00:00:00,61128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-12-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-11-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-11-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-11-10 00:00:00,46009,49589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-11-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-10-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-10-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-10-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-10-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-09-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-09-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-09-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-09-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-09-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-08-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-08-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-08-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-08-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
