Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2021-03-31 00:00:00,Unnamed: 6,Unnamed: 7,Unnamed: 8,2022-03-31 00:00:00,Unnamed: 10,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-30 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00.1,2022-03-31 00:00:00.1,2023-03-31 00:00:00.1,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,2027-03-31 00:00:00,2028-03-31 00:00:00,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,Debt,,,,,,,,,,,,,,,,,207937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,,,,,,,,,61147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accrued,,,,,,,,,,,,,,,,,339279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merchant,,,,,,,,,,,,,,,,,12449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR,,,,,,,,,,,,,,,,,78697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,32185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SE,,,,,,,,,,,,,,,,,1053360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,,,,,,,,1785054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,45306,,,,33636,,,,,,,,,,,,,,,180607.0,231786.0,142759.0,199752.0,182593.0,,,,,,,,,
,CapEx,,,,,,,,,,,,,6007,,,,11939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,,,,,,39299,,,,21697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,,,,,,,,,,224955,219260,204891,198162,197991,194320,,,,,,,,,,,,,,,,,,,,,,,,,,
