Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,
,Net Adds,,,,,,,,,,,,,,,,,,,,,117.1875,88.07843749999999,41.09375,31.25,,,,,,,,,,,,,,,,256.5178125,277.6096875,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,,,
,Patients,,,,,,,,,,,,,,,,,,,,600,717.1875,805.2659375,846.3596875,877.6096875,,,,,,,,,,,,,,,,600.0,877.6096875000001,1677.6096875,2477.6096875000003,3277.6096875000003,4077.6096875000003,4877.6096875,5677.6096875,6477.6096875,7277.6096875,8077.6096875,8877.6096875,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elevidys,,,,,,,,,,,,,0,0,69.1,131.2,133.936,121.721,181,384.2,375,281.851,131.5,100,,,,,,,,,,,,,,,200.29999999999998,820.857,888.351,50.0,100.0,150.0,200.0,250.0,300.0,300.0,300.0,300.0,300.0,,,
,PMOs,,,,,,,,,,,,,231.495,238.988,240.222,233.87100000000004,225.548,238.827,248.8,254,237,231.272,238.5,203.20000000000002,,,,,,,,5.4,155.0,301.0,381.0,456.0,612.0,844.0,944.576,967.175,909.972,900.8722799999999,891.8635572,882.944921628,874.11547241172,865.3743176876028,856.7205745107268,848.1533687656196,839.6718350779634,831.2751167271837,822.9623655599119,,,
,Exondys,,,,,,,115.598,,,,122.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amondys,,,,,,,26.655,,,,54.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vyondys,,,,,,,24.658,,,,30.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Products,,,,,,,166.911,,,,207.774,235.933,231.495,238.988,309.322,365.071,359.484,360.548,429.8,638.2,612,513.123,370,303.20000000000005,,,,,,,,,,,,,,,1144.876,1788.032,1798.3229999999999,950.8722799999999,991.8635572,1032.944921628,1074.11547241172,1115.3743176876028,1156.7205745107267,1148.1533687656197,1139.6718350779634,1131.2751167271836,1122.9623655599119,,,
